3,70,60,83,101,87,4
5,185,145,213,239,235,12
6,245,150,174,194,168,-20
23,2,3,22,7,41,9
24,22,31,69,127,101,19
25,2,0,0,1,0,-1
46,84,82,86,108,87,0
47,44,199,243,258,135,22
48,317,219,298,193,116,-51
49,236,222,212,134,196,-10
50,1775,1518,1811,1539,799,-244
51,94,109,135,87,43,-13
52,336,228,394,359,189,-37
53,209,274,239,200,206,-1
56,128,173,132,195,230,25
58,10,40,88,75,36,6
59,0,6,22,11,10,2
60,13,22,22,1,13,0
62,54,33,61,64,22,-8
64,0,1,1,1,0,0
66,608,530,764,256,44,-141
67,56,36,59,18,11,-12
68,230,203,117,58,44,-47
69,19,31,41,4,11,-2
70,14,16,8,4,15,0
71,1,0,16,22,2,0
72,1,3,2,1,8,1
73,1,1,1,0,0,-1
74,759,454,684,511,531,-57
75,6,2,5,4,7,0
76,1099,999,1235,522,255,-211
77,145,77,57,57,136,-3
79,0,0,13,30,9,2
80,3,1,1,1,4,0
81,14,15,18,7,5,-3
82,217,190,174,96,13,-51
83,136,205,329,231,95,-11
84,539,600,517,509,421,-30
85,59,55,34,48,53,-2
86,439,372,378,385,248,-48
87,460,484,354,380,278,-46
88,307,263,467,566,386,19
89,8,2,2,6,0,-2
90,403,466,420,620,353,-13
91,4,2,5,4,3,-1
92,107,80,32,34,23,-21
93,18,39,28,3,2,-4
94,37,30,24,23,26,-3
95,4,2,1,12,82,19
96,21,23,4,10,15,-2
98,1,0,1,0,0,-1
99,59,89,67,100,23,-9
100,55,107,87,32,30,-7
108,13,31,51,12,19,1
109,0,2,2,0,1,0
112,25,4,0,0,0,-7
113,2994,3176,3032,3092,2090,-226
115,24,11,23,254,30,1
116,43,31,22,30,21,-6
117,349,192,391,266,207,-36
118,207,185,219,234,104,-26
120,345,437,493,620,229,-29
121,9,18,17,18,16,1
122,273,243,434,192,92,-46
123,61,51,81,99,68,1
124,2,0,4,6,1,-1
125,362,219,359,626,322,-10
126,348,311,425,328,240,-27
128,36,31,54,65,36,0
129,497,522,649,695,509,3
131,290,340,368,290,142,-37
132,15,14,22,10,10,-2
133,53,47,29,6,1,-13
134,427,308,180,249,185,-61
135,10,6,15,137,3,-2
136,34,22,46,76,11,-6
137,501,375,390,295,188,-79
138,210,173,148,139,118,-23
139,461,307,269,212,184,-70
140,382,385,395,388,348,-9
141,285,318,311,298,255,-8
142,2,8,7,11,9,1
143,13,14,9,24,10,-1
144,6,14,5,3,5,-1
145,61,53,136,97,84,5
146,117,229,589,545,513,99
147,511,327,595,618,641,32
148,298,582,823,577,517,54
149,320,365,286,267,275,-12
150,438,489,714,605,507,17
151,964,634,983,975,858,-27
152,387,305,492,517,443,14
153,138,82,323,121,139,0
154,108,107,224,164,400,73
155,152,186,365,240,237,21
156,616,673,879,724,364,-63
157,704,898,1083,831,506,-50
158,748,911,1080,798,487,-66
159,75,110,121,121,102,6
160,10,6,9,37,68,14
161,114,80,63,51,31,-21
162,2,1,1,10,2,0
163,350,362,276,187,115,-59
164,476,505,557,501,372,-26
165,250,245,248,264,144,-27
166,206,235,156,228,115,-23
167,494,602,540,434,282,-53
169,1,2,5,7,3,0
180,0,0,0,1,0,0
184,5,1,0,3,11,1
190,1,0,0,1,1,0
191,3,3,1,0,1,-1
192,11,18,9,6,16,1
193,0,0,0,0,2,0
194,2,2,1,10,11,2
195,11,15,11,9,17,1
196,39,29,18,0,1,-10
199,1,0,0,0,0,-1
201,1,0,0,0,1,0
203,0,3,1,0,0,0
204,0,1,2,4,1,0
206,8,14,17,49,96,22
207,0,0,4,1,0,0
208,0,0,0,0,1,0
210,1,0,0,0,0,-1
211,2,0,0,0,0,-1
212,120,174,38,9,6,-29
213,1,0,3,1,0,-1
214,1,0,0,0,0,-1
215,0,0,1,0,1,0
216,1,2,0,2,2,0
219,9,9,5,17,7,-1
220,5,2,0,1,6,0
221,2,0,2,0,0,-1
222,6,3,1,0,0,-2
223,4,0,3,1,2,-1
224,0,0,1,0,4,1
225,6,4,0,8,8,0
228,9,0,2,3,4,-2
229,1,0,0,0,0,-1
231,0,0,0,3,0,0
232,10,4,7,14,15,1
234,0,0,3,0,0,0
235,9,12,14,9,17,2
236,9,9,9,8,25,4
237,4,1,2,1,3,-1
239,1,0,0,0,2,0
240,2,2,0,0,0,-1
244,1,0,4,0,1,0
248,1,14,13,1,0,-1
249,0,1,1,2,0,0
250,1,0,1,7,1,0
251,0,1,0,1,2,0
252,2,2,7,1,4,0
253,4,4,4,7,1,-1
256,5,25,68,74,34,7
258,7,76,1,2,1,-2
259,29,35,108,101,163,33
278,2,2,6,8,9,1
279,4,0,3,8,3,-1
282,27,3,23,85,47,5
287,32,34,79,46,37,1
288,100,110,50,110,132,8
297,304,455,614,730,631,81
298,317,465,634,751,641,81
312,6,5,1,8,9,0
313,6,5,2,8,13,1
314,10,5,5,9,15,1
315,16,9,6,9,15,-1
316,18,10,8,9,16,-1
317,0,3,3,2,3,0
318,1,6,5,4,6,1
319,1,6,6,4,7,1
320,2,6,9,4,8,1
321,41,97,24,9,11,-8
327,140,201,74,69,117,-6
329,140,204,75,69,117,-6
332,142,204,75,69,118,-6
334,191,248,106,78,135,-14
336,194,250,107,88,149,-12
338,208,271,117,94,166,-11
339,209,271,117,95,167,-11
344,214,360,165,174,180,-9
420,87,117,44,173,33,-14
421,47,68,58,20,90,10
422,18,141,88,257,51,8
423,18,47,20,28,33,3
425,445,429,976,1793,1304,214
426,14,8,1,7,37,5
427,0,1,0,0,141,35
428,333,188,154,234,278,-14
429,86,83,115,166,134,12
431,116,83,105,130,76,-10
432,106,61,73,138,161,13
433,64,56,41,64,52,-3
434,34,36,25,65,60,6
437,123,139,137,188,216,23
438,187,119,53,145,98,-23
439,96,85,45,107,94,-1
440,116,59,78,114,109,-2
441,179,82,39,66,28,-38
442,455,615,582,734,331,-31
443,221,138,148,221,193,-7
444,216,227,34,543,893,169
445,86,69,53,118,91,1
446,61,140,184,126,88,6
447,143,108,130,156,89,-14
448,247,356,362,391,320,18
449,83,69,126,122,95,3
450,135,104,140,200,299,41
451,95,115,171,216,278,45
452,138,86,77,197,140,0
453,36,91,115,160,80,11
455,36,140,67,180,53,4
459,18,17,21,32,71,13
460,119,128,169,135,54,-17
461,19,16,32,21,10,-3
462,2,0,0,0,0,-1
463,3,37,6,4,7,1
464,49,30,38,63,69,5
465,174,170,69,76,97,-20
466,183,41,57,90,132,-13
467,255,112,208,478,429,43
468,111,70,66,121,99,-3
469,0,1,0,2,4,1
470,269,185,213,272,354,21
471,28,43,43,60,50,5
472,22,15,6,24,38,4
473,145,113,93,137,127,-5
474,241,218,165,189,126,-29
475,143,72,68,160,86,-15
476,118,86,52,140,98,-5
477,53,55,54,65,77,6
478,408,96,215,202,66,-86
479,341,103,68,25,58,-71
480,345,317,340,323,300,-12
481,491,488,563,749,397,-24
482,3059,2616,3373,3011,2476,-146
483,140,145,240,226,136,-1
484,216,244,113,154,61,-39
485,210,162,282,254,279,17
486,20,10,28,26,18,-1
487,92,53,415,640,840,187
488,2,1,0,2,0,-1
489,8,4,3,5,0,-2
490,18,4,14,5,12,-2
491,237,43,615,649,838,150
492,274,439,537,624,538,66
493,433,990,1318,1309,1059,156
494,35,112,519,1059,1070,258
495,0,18,276,273,249,62
496,46,29,90,346,311,66
497,44,107,285,459,563,129
499,90,92,146,127,172,20
500,92,176,214,178,192,25
502,101,94,145,227,217,29
503,188,147,265,234,130,-15
504,866,643,716,671,408,-115
505,210,171,216,268,279,17
506,146,158,335,521,260,28
507,194,161,8,10,22,-43
508,43,81,24,16,52,2
509,424,471,376,435,300,-31
511,548,580,648,504,572,6
512,315,331,375,343,291,-6
513,45,86,46,44,19,-7
515,484,523,523,451,353,-33
516,587,467,606,581,579,-2
517,1250,1088,971,983,827,-106
518,1749,1337,1529,1260,1104,-162
519,1907,1720,1519,1648,1289,-155
521,706,683,879,701,409,-75
522,590,609,620,516,355,-59
523,204,213,222,202,142,-16
524,238,134,142,98,101,-35
525,159,207,246,205,175,4
526,241,253,225,215,235,-2
527,250,322,216,178,191,-15
528,110,146,102,83,83,-7
529,56,103,61,33,22,-9
530,102,129,87,116,71,-8
531,175,170,153,165,138,-10
532,1051,683,659,652,621,-108
533,837,683,522,643,619,-55
534,55,60,47,91,89,8
535,421,593,692,813,700,69
536,13,10,14,14,9,-1
537,532,541,364,358,355,-45
538,1488,1387,1453,1594,1153,-84
539,180,137,161,156,91,-23
540,293,367,408,363,298,1
542,132,110,124,133,74,-15
544,600,659,818,803,590,-3
545,215,174,201,186,122,-24
547,914,1129,1383,998,722,-48
548,904,919,1043,1155,408,-124
549,4328,4644,5365,5348,3645,-171
550,1072,1050,1737,1826,1877,201
551,906,1236,1627,1399,981,18
552,1238,1749,1857,1890,1367,32
554,55,49,372,623,568,128
555,7575,8493,10909,11463,8874,324
556,7634,8568,10993,11616,9016,345
557,240,334,742,910,947,176
558,29,43,46,45,39,2
559,329,429,500,675,532,50
576,180,471,671,1000,902,180
577,85,129,138,138,184,24
578,197,136,174,278,279,20
580,1,0,0,0,0,-1
581,55,77,73,107,66,2
582,85,57,62,69,69,-4
583,1,0,3,2,0,-1
586,3,0,6,0,0,-1
587,3,0,0,2,0,-1
588,2,4,2,3,2,0
589,199,219,250,399,237,9
590,128,117,140,134,82,-12
591,187,270,271,229,155,-8
592,82,266,244,300,209,31
594,42,77,104,51,59,4
595,129,288,314,469,242,28
596,185,332,421,499,252,16
597,228,384,281,235,185,-11
598,61,115,41,128,41,-5
599,59,76,54,18,10,-13
600,27,43,24,16,13,-4
601,33,43,20,25,23,-3
602,57,56,27,37,38,-5
605,1335,2187,2050,2362,1448,28
607,15,28,23,54,37,5
608,31,25,65,144,103,18
609,48,54,86,126,51,0
611,24,50,47,94,33,2
612,92,171,163,222,156,16
613,146,172,156,203,103,-11
614,69,113,150,119,80,2
615,127,95,173,144,95,-8
616,159,199,151,228,228,17
617,254,343,337,592,564,77
618,116,146,206,434,460,86
619,149,245,295,462,322,43
620,46,55,54,99,90,11
621,106,134,121,123,115,2
622,163,222,158,192,156,-2
623,63,106,64,72,106,10
624,124,181,121,152,174,12
625,71,170,53,86,86,3
627,22,6,9,41,32,2
628,32,37,34,78,58,6
629,79,89,74,102,46,-9
630,387,514,283,381,193,-49
631,38,205,148,31,6,-8
632,196,122,141,30,4,-48
642,4,45,66,196,173,42
643,138,69,47,128,99,-10
644,20,22,26,28,21,0
645,3,3,5,1,2,-1
646,65,50,63,53,62,-1
647,49,52,41,66,55,1
648,7,6,11,14,9,0
649,73,75,83,95,107,8
650,71,107,108,152,37,-9
653,0,3,1,1,3,0
655,3696,2987,2618,1803,1693,-501
656,1,1,0,0,0,-1
657,1,5,3,5,10,2
660,6,12,7,13,10,1
661,72,69,75,45,40,-8
662,15,24,16,6,7,-2
663,35,39,51,34,18,-5
664,141,93,118,121,109,-8
665,47,61,99,94,60,3
667,161,126,160,128,95,-17
668,39,26,64,37,28,-3
669,114,90,101,26,50,-16
670,2876,2261,1741,1147,1166,-428
671,765,536,434,246,285,-120
672,83,79,55,40,12,-18
673,43,18,27,16,10,-9
675,1556,1317,1061,732,740,-204
676,1545,1302,1054,724,729,-204
678,253,236,185,78,76,-45
679,33,39,15,16,17,-4
681,44,81,36,17,20,-6
682,806,635,406,410,398,-102
683,407,338,410,207,223,-46
684,344,318,380,173,197,-37
685,1,2,3,2,0,-1
687,3760,3187,2761,1959,1738,-506
689,69,71,70,98,88,4
690,123,106,141,153,103,-5
692,50,49,33,81,41,-3
693,1,0,1,0,0,-1
694,80,70,77,84,47,-9
696,139,67,91,354,275,34
697,38,39,27,69,53,3
698,192,160,105,280,167,-7
699,41,36,29,67,37,-1
700,95,71,71,161,93,-1
702,78,77,19,68,53,-7
704,118,92,45,88,116,-1
705,9,17,14,28,1,-2
706,15,29,55,46,23,2
708,55,132,354,688,273,54
709,0,1,0,0,0,0
710,3,44,96,391,323,80
711,27,18,23,54,38,2
714,80,45,45,18,23,-15
716,129,104,181,238,181,13
717,20,114,112,147,76,14
718,89,79,66,149,114,6
719,23,65,10,90,79,14
720,26,67,7,69,58,8
721,265,269,289,361,281,4
722,4,1,335,330,423,104
724,25,45,123,30,64,9
726,40,17,18,35,33,-2
727,65,70,199,161,127,15
728,3,2,3,19,3,0
729,132,219,182,199,139,1
730,88,42,97,53,113,6
732,3,8,2,3,2,-1
733,23,10,6,20,10,-4
737,97,75,81,20,32,-17
738,194,194,195,140,116,-20
739,0,1,1,4,6,1
740,10,2,9,2,14,1
741,40,24,37,17,10,-8
742,280,255,234,197,172,-27
743,481,406,375,339,466,-4
744,466,537,462,535,231,-59
745,277,277,257,357,213,-16
